,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date
62480,62480,a2468,b2007,wynonna & the big noise,wynonna & the big noise,Feb 12 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62481,62481,a1319,b2007,a very british synthesizer group: the anthology [deluxe edition],the human league,Nov 18 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62504,62504,a1866,b2007,the soft bounce,beyond the wizards sleeve,Jul 1 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62513,62513,a1879,b2007,the mystery lights,the mystery lights,Jun 24 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62514,62514,a1368,b2007,until the hunter,hope sandoval & the warm inventions,Nov 4 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62521,62521,a1937,b2007,fitz and the tantrums,fitz & the tantrums,Jun 10 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62532,62532,a1398,b2007,the olympians,the olympians,Oct 28 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62533,62533,a2008,b2007,the ride,catfish & the bottlemen,May 27 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62534,62534,a1258,b2007,africa express presents: the orchestra of syrian musicians [live],the orchestra of syrian musicians,Dec 16 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62542,62542,a1926,b2007,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62557,62557,a1436,b2007,mapping the rendezvous,the courteeners,Oct 21 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62561,62561,a1441,b2007,the deaner album,the dean ween group,Oct 21 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62573,62573,a2377,b2007,the rarity of experience,chris forsyth & the solar motel band,Mar 4 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62602,62602,a2546,b2007,here come the rattling trees,the high llamas,Jan 22 2016,the colorist & emilíana torrini,the colorist orchestra & emilíana torrini,Dec 9 2016
62612,62612,a1255,b2008,fireplace: thenottheotherside,hodgy,Dec 23 2016,fireplace: thenottheotherside,hodgy,Dec 9 2016
62615,62615,a1268,b2010,4 your eyez only,j. cole,Dec 9 2016,4 your eyez only,j. cole,Dec 9 2016
62630,62630,a1264,b2014,peace trail,neil young,Dec 9 2016,peace trail,neil young,Dec 9 2016
62658,62658,a1363,b2020,this house is not for sale,bon jovi,Nov 4 2016,this house is not for sale – live from the london palladium,bon jovi,Dec 16 2016
62664,62664,a1253,b2023,"passion, pain & demon slayin'",kid cudi,Dec 28 2016,"passion, pain & demon slayin'",kid cudi,Dec 16 2016
62670,62670,a1256,b2027,not the actual events [ep],nine inch nails,Dec 23 2016,not the actual events,nine inch nails,Dec 23 2016
62674,62674,a1251,b2029,reflection,brian eno,Jan 1 2017,reflection,brian eno,Jan 1 2017
62692,62692,a1247,b2039,11 short stories of pain & glory,dropkick murphys,Jan 6 2017,11 short stories of pain & glory,dropkick murphys,Jan 6 2017
62693,62693,a1249,b2040,echolocation,gone is gone,Jan 6 2017,echolocation,gone is gone,Jan 6 2017
62699,62699,a1248,b2044,youth is only ever fun in retrospect,sundara karma,Jan 6 2017,youth is only ever fun in retrospect,sundara karma,Jan 6 2017
62700,62700,a1250,b2045,night people,you me at six,Jan 6 2017,night people,you me at six,Jan 6 2017
62733,62733,a1234,b2053,migration,bonobo,Jan 13 2017,migration,bonobo,Jan 13 2017
62735,62735,a1237,b2054,forever,code orange,Jan 13 2017,forever,code orange,Jan 13 2017
62863,62863,a1229,b2057,oczy mlody,the flaming lips,Jan 13 2017,oczy mlody,the flaming lips,Jan 13 2017
63080,63080,a1233,b2058,"gentlewoman, ruby man",flo morrissey,Jan 13 2017,"gentlewoman, ruby man",flo morrissey and matthew e. white,Jan 13 2017
63110,63110,a1244,b2062,up and coming,john abercrombie quartet,Jan 13 2017,up and coming,john abercrombie quartet,Jan 13 2017
63120,63120,a1163,b2063,not even happiness,julie byrne,Jan 27 2017,not even happiness,julie byrne,Jan 13 2017
63434,63434,a388,b2068,the echo of pleasure,the pains of being pure at heart,Sep 1 2017,in the passing light of day,pain of salvation,Jan 13 2017
63437,63437,a1048,b2068,burning the threshold,six organs of admittance,Feb 24 2017,in the passing light of day,pain of salvation,Jan 13 2017
63445,63445,a419,b2068,spear in the city,bodies of water,Aug 25 2017,in the passing light of day,pain of salvation,Jan 13 2017
63446,63446,a295,b2068,cryptoriana: the seductiveness of decay,cradle of filth,Sep 22 2017,in the passing light of day,pain of salvation,Jan 13 2017
63447,63447,a428,b2068,lukas nelson & promise of the real [2017],lukas nelson & promise of the real,Aug 25 2017,in the passing light of day,pain of salvation,Jan 13 2017
63448,63448,a557,b2068,the usual suspects,jah wobble's invaders of the heart,Jul 7 2017,in the passing light of day,pain of salvation,Jan 13 2017
63449,63449,a1070,b2068,children of alice,children of alice,Feb 24 2017,in the passing light of day,pain of salvation,Jan 13 2017
63453,63453,a1217,b2068,he's got the whole this land is your land in his hands,joan of arc,Jan 20 2017,in the passing light of day,pain of salvation,Jan 13 2017
63455,63455,a328,b2068,prophets of rage,prophets of rage,Sep 15 2017,in the passing light of day,pain of salvation,Jan 13 2017
63458,63458,a2522,b2068,songs of separation,songs of separation,Jan 29 2016,in the passing light of day,pain of salvation,Jan 13 2017
63606,63606,a1245,b2070,feel your feelings fool!,the regrettes,Jan 13 2017,feel your feelings fool!,the regrettes,Jan 13 2017
63805,63805,a1236,b2074,machine messiah,sepultura,Jan 13 2017,machine messiah,sepultura,Jan 13 2017
63806,63806,a1231,b2075,rennen,sohn,Jan 13 2017,rennen,sohn,Jan 13 2017
63807,63807,a1239,b2077,godfather,wiley,Jan 13 2017,godfather,wiley,Jan 13 2017
